"corpus_sizes","agx","ava","kum","rut","dar","tab","lak","lez","nog","tkr","arch","khv"
22741,0.223884464011952,0.30351385467875,0.253786785931382,0.232181669346922,0.389039494288527,0.297761885309143,0.262618950418843,0.241550024180509,0.211176604782428,0.274726635469562,0.272685164140475,0.270394355495842
22969,0.222663757060306,0.302387851565252,0.252802333304568,0.231141110175522,0.387891201155185,0.296633038042516,0.261566785424642,0.240552725841705,0.20996375198025,0.27350684198012,0.271454953359876,0.269188643817756
22998,0.222509529764065,0.302245571059275,0.252677950642592,0.231009639499219,0.387745988119969,0.296490370792647,0.261433824309305,0.240426740484707,0.20981054125084,0.273352657613777,0.271299456749606,0.269036240594093
23177,0.221562694130335,0.301371985180054,0.251914313012678,0.23020249074477,0.386853825491524,0.295614276000008,0.260617406138661,0.239653363307146,0.208870066535629,0.272405726578858,0.270344488907442,0.268100254348533
23418,0.220301638529076,0.300208225325634,0.250897176337885,0.229127415084399,0.385663789289439,0.294446815479257,0.259529664524494,0.23862352163236,0.207617805322597,0.271143578044456,0.269071688554974,0.266852709585891
23522,0.219762242845885,0.299710349998635,0.250462082655287,0.22866754384684,0.385154137942767,0.293947232131271,0.259064263155335,0.238183086776244,0.207082284628194,0.27060337503263,0.268526947757558,0.26631876253372
23638,0.219163973713716,0.299158062726627,0.249979476167781,0.228157459293307,0.384588412251215,0.293392962810075,0.258547965584352,0.237694621534199,0.206488393377424,0.270003970453624,0.267922523079783,0.265726303402024
24112,0.216755464066798,0.296933873219139,0.248036311486934,0.226103722224692,0.382306095699123,0.291159863278258,0.256468365209766,0.235728567900305,0.204098367098004,0.267588307055143,0.265486789571541,0.263338672765656
24475,0.21494918729915,0.295264928713346,0.246578663804558,0.224563212001888,0.380589304010324,0.289483260217385,0.254907553351233,0.234254489568787,0.202306866914073,0.265773908050144,0.263657488366336,0.261545373837643
24753,0.213587587136677,0.29400629809456,0.245479625367131,0.223401752721543,0.379292180541247,0.288218304534005,0.253730270253748,0.233143483378728,0.200956931864976,0.264404594820407,0.262277028038178,0.260192010491384
24772,0.213495203359321,0.293920882684156,0.245405048079723,0.223322941665763,0.379204077629701,0.288132442807556,0.253650369229649,0.233068107129038,0.200865356094794,0.264311637666251,0.262183317282838,0.260100136922877
